3710;SLC26A4;solute carrier family 26 member 4
3720;PEPD;peptidase D
3729;PEX14;peroxisomal biogenesis factor 14
3761;PGM3;phosphoglucomutase 3
3778;SERPINA1;serpin family A member 1
3802;PIK3CD;phosphatidylinositol-4,5-bisphosphate 3-kinase catalytic subunit delta
3808;PIN1;peptidylprolyl cis/trans isomerase, NIMA-interacting 1
3827;PLA2G4A;phospholipase A2 group IVA
3833;PLAU;plasminogen activator, urokinase
3846;PLEK;pleckstrin
3867;PMCH;pro-melanin concentrating hormone
3932;PPARG;peroxisome proliferator activated receptor gamma
3933;MED1;mediator complex subunit 1
3958;PPP2CA;protein phosphatase 2 catalytic subunit alpha
3991;PRF1;perforin 1
4014;PRKCE;protein kinase C epsilon
4021;PRKCQ;protein kinase C theta
4025;PRKG1;protein kinase cGMP-dependent 1
4054;PROC;protein C, inactivator of coagulation factors Va and VIIIa
4121;PSMD3;proteasome 26S subunit, non-ATPase 3
4137;PTCH1;patched 1
4138;PTEN;phosphatase and tensin homolog
4139;PTGDR;prostaglandin D2 receptor
4142;PTGER2;prostaglandin E receptor 2
4143;PTGER3;prostaglandin E receptor 3
4150;PTGS1;prostaglandin-endoperoxide synthase 1
4151;PTGS2;prostaglandin-endoperoxide synthase 2
4166;PTPN2;protein tyrosine phosphatase non-receptor type 2
4178;PTPRC;protein tyrosine phosphatase receptor type C
4179;PTPRD;protein tyrosine phosphatase receptor type D
4186;PTPRK;protein tyrosine phosphatase receptor type K
4212;PEX5;peroxisomal biogenesis factor 5
4230;RAB5B;RAB5B, member RAS oncogene family
4250;RAD51B;RAD51 paralog B
4368;RNASE2;ribonuclease A family member 2
4369;RNASE3;ribonuclease A family member 3
4397;RORA;RAR related orphan receptor A
4404;RPGR;retinitis pigmentosa GTPase regulator
4498;RREB1;ras responsive element binding protein 1
4551;ATXN2;ataxin 2
4554;SERPINB3;serpin family B member 3
4555;SERPINB4;serpin family B member 4
4564;SCN4A;sodium voltage-gated channel alpha subunit 4
4580;CCL1;C-C motif chemokine ligand 1
4581;CCL2;C-C motif chemokine ligand 2
4585;CCL5;C-C motif chemokine ligand 5
4588;CCL11;C-C motif chemokine ligand 11
4593;CCL17;C-C motif chemokine ligand 17
4594;CCL18;C-C motif chemokine ligand 18
4598;CCL22;C-C motif chemokine ligand 22
4605;XCL1;X-C motif chemokine ligand 1
4618;SDHD;succinate dehydrogenase complex subunit D
4651;SFTPB;surfactant protein B
4652;SFTPC;surfactant protein C
4653;SFTPD;surfactant protein D
4674;SHH;sonic hedgehog signaling molecule
4688;PMEL;premelanosome protein
4694;SIX3;SIX homeobox 3
4734;SLC6A12;solute carrier family 6 member 12
4737;SLC7A2;solute carrier family 7 member 2
4748;SLC11A1;solute carrier family 11 member 1
4763;SLC18A3;solute carrier family 18 member A3
